country,christian_pct,muslim_pct,hindu_pct,buddhist_pct,jewish_pct,other_religion_pct,nonreligious_pct,beef_kg_capita,pork_kg_capita,chicken_kg_capita,fish_kg_capita,lamb_kg_capita,gdp_per_capita,urbanization_pct,menu_cluster
USA,65,1,1,1,2,5,25,37.0,27.0,49.0,7.0,1.0,63000,83,0
Australia,52,3,2,3,1,5,34,33.0,24.0,44.0,8.0,2.0,55000,86,0
Argentina,92,1,1,1,1,1,3,55.0,15.0,36.0,5.0,2.0,11000,92,0
Brazil,88,1,1,1,1,3,5,43.0,14.0,41.0,8.0,1.0,8700,87,0
Canada,63,3,2,1,1,5,25,36.0,25.0,40.0,9.0,1.0,46000,82,0
Germany,57,5,1,1,1,5,30,36.0,39.0,17.0,9.0,1.0,46000,77,4
France,63,8,1,1,1,5,21,26.0,32.0,24.0,15.0,2.0,42000,82,4
UK,59,5,2,1,1,5,27,18.0,25.0,36.0,13.0,4.0,45000,84,4
Spain,68,2,1,1,1,3,24,14.0,37.0,35.0,17.0,4.0,30000,80,4
Italy,74,3,1,1,1,2,18,23.0,40.0,19.0,14.0,2.0,34000,71,4
Japan,2,1,1,67,1,3,25,9.0,8.0,21.0,27.0,1.0,40000,92,3
South Korea,28,1,1,22,1,3,44,13.0,19.0,22.0,22.0,1.0,32000,82,3
Philippines,90,6,1,1,1,1,0,8.0,14.0,18.0,29.0,1.0,3500,47,3
Norway,71,3,1,1,1,3,20,23.0,13.0,11.0,26.0,4.0,82000,83,3
Malaysia,10,63,7,20,1,1,0,2.0,1.0,42.0,9.0,3.0,12000,78,1
Saudi Arabia,5,93,1,1,0,1,0,9.0,0.0,48.0,8.0,18.0,23000,84,1
Egypt,10,90,1,1,0,1,0,12.0,0.0,34.0,7.0,11.0,3600,43,1
Turkey,1,98,1,1,0,1,0,17.0,0.5,22.0,7.0,11.0,10500,76,1
UAE,10,76,8,1,1,5,0,11.0,0.1,40.0,9.0,14.0,43000,87,1
Indonesia,7,87,2,2,0,2,0,2.0,0.1,11.0,8.0,2.0,4200,57,1
India,3,14,80,1,0,1,1,2.0,0.4,4.0,4.0,1.0,2200,35,2
Israel,2,18,1,1,75,3,0,21.0,8.0,68.0,8.0,5.0,47000,92,1
Mexico,88,1,1,1,1,3,5,19.0,14.0,32.0,6.0,1.0,10500,81,0
South Africa,85,2,2,1,1,4,5,18.0,4.0,42.0,5.0,6.0,7000,67,1
Thailand,1,5,1,93,0,1,0,4.0,8.0,17.0,17.0,1.0,7300,52,3
Vietnam,7,1,1,16,1,74,0,8.0,14.0,14.0,19.0,1.0,3600,38,3
China,5,2,1,18,1,73,0,6.0,44.0,14.0,12.0,1.0,12500,64,3
Russia,71,8,1,1,1,3,15,17.0,22.0,35.0,13.0,2.0,12100,75,4
Poland,92,1,1,1,1,1,3,16.0,42.0,29.0,9.0,1.0,16000,60,4
Sweden,57,3,1,1,1,4,33,24.0,18.0,12.0,18.0,2.0,54000,88,4
Pakistan,2,97,1,0,0,0,0,6.0,0.0,10.0,2.0,12.0,1500,37,1
Bangladesh,9,90,1,0,0,0,0,4.0,0.0,5.0,11.0,3.0,2000,39,1
Morocco,1,99,0,0,0,0,0,7.0,0.0,18.0,10.0,12.0,3400,64,1
Lebanon,40,58,1,1,0,0,0,10.0,2.0,30.0,9.0,10.0,13000,88,1
Singapore,19,14,5,34,1,22,5,5.0,8.0,28.0,17.0,2.0,65000,100,3
New Zealand,44,2,2,2,1,4,45,35.0,19.0,28.0,13.0,16.0,42000,87,0
Chile,66,1,1,1,1,3,27,23.0,16.0,42.0,12.0,1.0,15000,88,0
Peru,97,1,1,1,1,0,0,6.0,5.0,34.0,22.0,1.0,7100,79,3
Colombia,93,1,1,1,1,2,1,19.0,3.0,30.0,5.0,1.0,6400,81,0
Nigeria,48,50,0,0,0,2,0,3.0,1.0,9.0,6.0,2.0,2100,53,1
Kenya,85,11,2,0,0,2,0,6.0,1.0,11.0,7.0,3.0,1900,28,1
Ghana,71,18,1,0,0,10,0,4.0,2.0,10.0,12.0,1.0,2200,58,1
